id	misogynous	text	misogyny_category	target	cleaned_text
1	1	Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees. SHUT THE FUCK UP.	dominance	active	please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees . shut the fuck up .
2	1	<MENTION_1> <MENTION_2> Bitch shut the fuck up	dominance	active	<mention > <mention > bitch shut the fuck up
3	1	<MENTION_1> Dear cunt, please shut the fuck up.	dominance	active	<mention > dear cunt , please shut the fuck up .
4	1	RT <MENTION_1> Pls shut the fuck up bitch	dominance	active	<mention > please shut the fuck up bitch
5	1	"RT <MENTION_1> ""when u gonna get your license"" SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK"	dominance	active	<mention >   when u gonna get your license   shut the fuck up bitch i aint got time damn get off my dick
6	1	<MENTION_1> <MENTION_2> Bitch shut the fuck up	dominance	active	<mention > <mention > bitch shut the fuck up
7	1	ok babies i'll go to sleep ok bitch shut the fuck up	dominance	passive	ok babies i will go to sleep ok bitch shut the fuck up
8	1	You are a fucking ugly bitch!shut the fuck up??????????????????????????????????????????????????????you just a ugly bitch!fuck you ??????????	dominance	active	you are a fucking ugly bitch ! shut the fuck up ? you just a ugly bitch ! fuck you ?
9	1	RT <MENTION_1> bitch shut the fuck up you're fucking your best friends dad <URL>	dominance	active	<mention > bitch shut the fuck up you are fucking your best friends dad <url>
10	1	"RT <MENTION_1>  shut the fuck up and come suck my dick """	sexual_harassment	active	<mention > shut the fuck up and come suck my dick
11	1	<MENTION_1> ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt	sexual_harassment	active	<mention > ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt
12	1	<MENTION_1> Ok if you fucking said leave block me. But dm me first I'm gonna kick your ass. Shut the fuck up you <URL>	sexual_harassment	active	<mention > ok if you fucking said leave block me . but dm me first I am gonna kick your ass . shut the fuck up you <url>
13	1	<MENTION_1> Shut the fuck up ye little slag	dominance	active	<mention > shut the fuck up ye little slag
14	1	Selena has BEEN acting like she'ss the victim all these years, shut the fuck up <URL>	derailing	passive	selena has been acting like she ss the victim all these years , shut the fuck up <url>
15	1	<MENTION_1> Shut the fuck up you cunt	dominance	active	<mention > shut the fuck up you cunt
16	1	like damn bitch if youre hungry shut the fuck up and eat im trying to sleep!!!	dominance	active	like damn bitch if you are hungry shut the fuck up and eat im trying to sleep !
17	1	"RT <MENTION_1> ""You too skinny, imma hurt you"" Girl  if you don't shut the fuck up and ride this dick. Imma be aight. I got Obamacare."""	sexual_harassment	active	<mention >   you too skinny , imma hurt you   girl if you do not shut the fuck up and ride this dick . imma be aight . i got obamacare .
18	1	<MENTION_1> shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly	dominance	active	<mention > shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly
19	1	"Don't speak bitch,just Die Die Die Why can't you go bye bye bye? Cause I will take your life away So turn around and just shut the fuck up!"""	dominance	active	do not speak bitch , just die die die why cannot you go bye bye bye ? cause i will take your life away so turn around and just shut the fuck up !
20	1	If women want equailty they should be drafted into war. See how that feels!!!	derailing	passive	if women want equailty they should be drafted into war . see how that feels !
21	1	charli: fuck you bitch charli: omg why am i so extra wjahjaaj	discredit	active	charli : fuck you bitch charli : omg why am i so extra wjahjaaj
22	1	Bitch you better be 😂😂 <URL>	discredit	active	bitch you better be <url>
23	1	<MENTION_1> Come on box I show you my cock darling	sexual_harassment	active	<mention > come on box i show you my cock darling
24	1	Rica gets so much cock in her licked cunt <URL>	sexual_harassment	active	rica gets so much cock in her licked cunt <url>
25	1	Say you gon ride, bitch ride	discredit	active	say you gon ride , bitch ride
26	1	<MENTION_1> bitch you a hoe... I do not like yo fish booty ass no fuckin moe	discredit	active	<mention > bitch you a hoe . i do not like yo fish booty ass no fuckin moe
27	1	They call it HB. I’m a hot bitch you a has been	discredit	active	they call it hb . im a hot bitch you a has been
28	1	I kno this bitch pussy smells really bad because she cook steak rice n corn everyday	discredit	active	i kno this bitch pussy smells really bad because she cook steak rice n corn everyday
29	1	<MENTION_1> Cause you're a Bitch and you love those situations! 🤷🏼‍♂️	discredit	active	<mention > cause you are a bitch and you love those situations !
30	1	cuf yo boy and yo girl Have you heard ‘pull a bad bitch’ by Reese's stuffed with on #SoundCloud? #np <URL>	discredit	passive	cuf yo boy and yo girl have you heard pull a bad bitch by reese s stuffed with on ? <url>
31	1	<MENTION_1> You know you can always block me right ? Or are you an attention whore ? Waiting for your feminist friends to get on line	discredit	active	<mention > you know you can always block me right ? or are you an attention whore ? waiting for your feminist friends to get on line
32	1	And HE HAD ANOTHER GIRL WITH HIM bitch she was shook <URL>	discredit	active	and he had another girl with him bitch she was shook <url>
33	1	also this girl tried to twerk me away from barricade FUCK YOU suck my dick!	sexual_harassment	active	also this girl tried to twerk me away from barricade fuck you suck my dick !
34	1	Boo, you sweaty whore	discredit	active	boo , you sweaty whore
36	1	<MENTION_1> Wow mo cock got hard. Want to pull your panties down, push you against these door and let you feel my cock deep in your wet puss 😈	sexual_harassment	active	<mention > wow mo cock got hard . want to pull your panties down , push you against these door and let you feel my cock deep in your wet puss
37	1	Kashdoll said 🗣Yall hoes kill me always want the next bitch issue, bitch you want her life but dont know what she been threw 💯‼️	discredit	active	kashdoll said yall hoes kill me always want the next bitch issue , bitch you want her life but dont know what she been threw
38	1	Literally just saw a 10 year old girl wearing a shirt with sparkles that said 'doing my best' fucking same bitch where'd you get that😂😂😂👽⚠✖ <URL>	discredit	active	literally just saw a year old girl wearing a shirt with sparkles that said would oing my best   fucking same bitch where would you get that <url>
39	1	But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂	discredit	active	but remember , you cheated on me first , you are a whore , you are a whore , this is whore
40	1	<MENTION_1> Wow!! Never seen a woman juggle a big cock like that	sexual_harassment	active	<mention > wow ! ! never seen a woman juggle a big cock like that
